(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(49871, -100, 4);[50, 6, 30, 1];87;אלון;13293;(1, 34, 14, 18, 13293);לנו;2;(1, 34, 14, 63, 49871);ויאמרו אליהם לא נוכל לעשות הדבר הזה לתת את אחתנו לאיש אשר לו ערלה כי חרפה הוא לנו
(53115, -100, 4);[50, 6, 30, 1];87;אלון;14160;(1, 36, 19, 2, 14160);בני;2;(1, 36, 19, 5, 53115);אלה בני עשו ואלה אלופיהם הוא אדום
(64895, -100, 4);[50, 6, 30, 1];87;אלון;17216;(1, 42, 37, 2, 17216);ראובן;5;(1, 42, 37, 10, 64895);ויאמר ראובן אל אביו לאמר את שני בני תמית אם לא אביאנו אליך תנה אתו על ידי ואני אשיבנו אליך
(224812, -100, 4);[50, 6, 30, 1];87;אלון;59274;(4, 21, 27, 6, 59274);חשבון;5;(4, 21, 27, 23, 224812);על כן יאמרו המשלים באו חשבון תבנה ותכונן עיר סיחון
(243576, -100, 4);[50, 6, 30, 1];87;אלון;64072;(4, 32, 30, 6, 64072);ונאחזו;2;(4, 32, 30, 22, 243576);ואם לא יעברו חלוצים אתכם ונאחזו בתככם בארץ כנען
(278759, -100, 4);[50, 6, 30, 1];87;אלון;73127;(5, 17, 15, 20, 73127);נכרי;1;(5, 17, 15, 68, 278759);שום תשים עליך מלך אשר יבחר יהוה אלהיך בו מקרב אחיך תשים עליך מלך לא תוכל לתת עליך איש נכרי אשר לא אחיך הוא
(69504, -99, 4);[50, 6, 30, 1];87;אלון;18393;(1, 45, 14, 4, 18393);בנימן;2;(1, 45, 14, 13, 69504);ויפל על צוארי בנימן אחיו ויבך ובנימן בכה על צואריו
(81854, -99, 4);[50, 6, 30, 1];87;אלון;21588;(2, 4, 1, 1, 21588);ויען;4;(2, 4, 1, 4, 81854);ויען משה ויאמר והן לא יאמינו לי ולא ישמעו בקלי כי יאמרו לא נראה אליך יהוה
(145398, -99, 4);[50, 6, 30, 1];87;אלון;38339;(3, 4, 21, 6, 38339);למחנה;4;(3, 4, 21, 21, 145398);והוציא את הפר אל מחוץ למחנה ושרף אתו כאשר שרף את הפר הראשון חטאת הקהל הוא
(205025, -99, 4);[50, 6, 30, 1];87;אלון;54051;(4, 9, 22, 10, 54051);המשכן;5;(4, 9, 22, 34, 205025);או ימים או חדש או ימים בהאריך הענן על המשכן לשכן עליו יחנו בני ישראל ולא יסעו ובהעלתו יסעו
(213646, -99, 4);[50, 6, 30, 1];87;אלון;56316;(4, 15, 8, 3, 56316);בן;2;(4, 15, 8, 9, 213646);וכי תעשה בן בקר עלה או זבח לפלא נדר או שלמים ליהוה
(238958, -99, 4);[50, 6, 30, 1];87;אלון;62869;(4, 30, 9, 18, 62869);נפשה;1;(4, 30, 9, 61, 238958);ואם ביום שמע אישה יניא אותה והפר את נדרה אשר עליה ואת מבטא שפתיה אשר אסרה על נפשה ויהוה יסלח לה
(242003, -99, 4);[50, 6, 30, 1];87;אלון;63672;(4, 32, 1, 5, 63672);ראובן;5;(4, 32, 1, 19, 242003);ומקנה רב היה לבני ראובן ולבני גד עצום מאד ויראו את ארץ יעזר ואת ארץ גלעד והנה המקום מקום מקנה
(251157, -99, 4);[50, 6, 30, 1];87;אלון;65998;(5, 1, 22, 5, 65998);נשלחה;1;(5, 1, 22, 21, 251157);ותקרבון אלי כלכם ותאמרו נשלחה אנשים לפנינו ויחפרו לנו את הארץ וישבו אתנו דבר את הדרך אשר נעלה בה ואת הערים אשר נבא אליהן
(252210, -99, 4);[50, 6, 30, 1];87;אלון;66263;(5, 1, 41, 8, 66263);ונלחמנו;6;(5, 1, 41, 39, 252210);ותענו ותאמרו אלי חטאנו ליהוה אנחנו נעלה ונלחמנו ככל אשר צונו יהוה אלהינו ותחגרו איש את כלי מלחמתו ותהינו לעלת ההרה
(1258, -98, 4);[50, 6, 30, 1];87;אלון;320;(1, 1, 26, 3, 320);נעשה;1;(1, 1, 26, 11, 1258);ויאמר אלהים נעשה אדם בצלמנו כדמותנו וירדו בדגת הים ובעוף השמים ובבהמה ובכל הארץ ובכל הרמש הרמש על הארץ
(6322, -98, 4);[50, 6, 30, 1];87;אלון;1684;(1, 5, 22, 2, 1684);חנוך;2;(1, 5, 22, 8, 6322);ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות
(22962, -98, 4);[50, 6, 30, 1];87;אלון;6119;(1, 19, 14, 5, 6119);חתניו;3;(1, 19, 14, 17, 22962);ויצא לוט וידבר אל חתניו לקחי בנתיו ויאמר קומו צאו מן המקום הזה כי משחית יהוה את העיר ויהי כמצחק בעיני חתניו
(53364, -98, 4);[50, 6, 30, 1];87;אלון;14222;(1, 36, 25, 4, 14222);דשן;3;(1, 36, 25, 13, 53364);ואלה בני ענה דשן ואהליבמה בת ענה
(97013, -98, 4);[50, 6, 30, 1];87;אלון;25604;(2, 13, 5, 13, 25604);נשבע;1;(2, 13, 5, 53, 97013);והיה כי יביאך יהוה אל ארץ הכנעני והחתי והאמרי והחוי והיבוסי אשר נשבע לאבתיך לתת לך ארץ זבת חלב ודבש ועבדת את העבדה הזאת בחדש הזה
(116804, -98, 4);[50, 6, 30, 1];87;אלון;30852;(2, 26, 31, 6, 30852);שני;2;(2, 26, 31, 27, 116804);ועשית פרכת תכלת וארגמן ותולעת שני ושש משזר מעשה חשב יעשה אתה כרבים
(171301, -98, 4);[50, 6, 30, 1];87;אלון;45333;(3, 19, 24, 1, 45333);ובשנה;4;(3, 19, 24, 4, 171301);ובשנה הרביעת יהיה כל פריו קדש הלולים ליהוה
(175081, -98, 4);[50, 6, 30, 1];87;אלון;46370;(3, 22, 11, 5, 46370);קנין;2;(3, 22, 11, 15, 175081);וכהן כי יקנה נפש קנין כספו הוא יאכל בו ויליד ביתו הם יאכלו בלחמו
(31199, -97, 4);[50, 6, 30, 1];87;אלון;8330;(1, 24, 36, 5, 8330);בן;2;(1, 24, 36, 16, 31199);ותלד שרה אשת אדני בן לאדני אחרי זקנתה ויתן לו את כל אשר לו
(32523, -97, 4);[50, 6, 30, 1];87;אלון;8674;(1, 24, 61, 4, 8674);ותרכבנה;6;(1, 24, 61, 21, 32523);ותקם רבקה ונערתיה ותרכבנה על הגמלים ותלכנה אחרי האיש ויקח העבד את רבקה וילך
(37414, -97, 4);[50, 6, 30, 1];87;אלון;9945;(1, 27, 26, 9, 9945);בני;2;(1, 27, 26, 30, 37414);ויאמר אליו יצחק אביו גשה נא ושקה לי בני
(51879, -97, 4);[50, 6, 30, 1];87;אלון;13825;(1, 35, 22, 7, 13825);ראובן;5;(1, 35, 22, 30, 51879);ויהי בשכן ישראל בארץ ההוא וילך ראובן וישכב את בלהה פילגש אביו וישמע ישראל ויהיו בני יעקב שנים עשר
(61867, -97, 4);[50, 6, 30, 1];87;אלון;16417;(1, 41, 36, 9, 16417);תהיין;5;(1, 41, 36, 37, 61867);והיה האכל לפקדון לארץ לשבע שני הרעב אשר תהיין בארץ מצרים ולא תכרת הארץ ברעב
