(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(15582, -100, 4);[1, 30, 6, 50];87;אלון;4176;(1, 13, 9, 13, 4176);ואשמאילה;5;(1, 13, 9, 50, 15582);הלא כל הארץ לפניך הפרד נא מעלי אם השמאל ואימנה ואם הימין ואשמאילה
(22582, -100, 4);[1, 30, 6, 50];87;אלון;6019;(1, 19, 8, 12, 6019);אתהן;1;(1, 19, 8, 35, 22582);הנה נא לי שתי בנות אשר לא ידעו איש אוציאה נא אתהן אליכם ועשו להן כטוב בעיניכם רק לאנשים האל אל תעשו דבר כי על כן באו בצל קרתי
(69014, -100, 4);[1, 30, 6, 50];87;אלון;18267;(1, 45, 5, 9, 18267);אתי;1;(1, 45, 5, 32, 69014);ועתה אל תעצבו ואל יחר בעיניכם כי מכרתם אתי הנה כי למחיה שלחני אלהים לפניכם
(193555, -100, 4);[1, 30, 6, 50];87;אלון;51041;(4, 4, 16, 7, 51041);המאור;3;(4, 4, 16, 26, 193555);ופקדת אלעזר בן אהרן הכהן שמן המאור וקטרת הסמים ומנחת התמיד ושמן המשחה פקדת כל המשכן וכל אשר בו בקדש ובכליו
(193601, -100, 4);[1, 30, 6, 50];87;אלון;51052;(4, 4, 16, 18, 51052);אשר;1;(4, 4, 16, 72, 193601);ופקדת אלעזר בן אהרן הכהן שמן המאור וקטרת הסמים ומנחת התמיד ושמן המשחה פקדת כל המשכן וכל אשר בו בקדש ובכליו
(226405, -100, 4);[1, 30, 6, 50];87;אלון;59718;(4, 22, 21, 10, 59718);מואב;3;(4, 22, 21, 35, 226405);ויקם בלעם בבקר ויחבש את אתנו וילך עם שרי מואב
(272800, -100, 4);[1, 30, 6, 50];87;אלון;71551;(5, 13, 4, 19, 71551);אהבים;1;(5, 13, 4, 68, 272800);לא תשמע אל דברי הנביא ההוא או אל חולם החלום ההוא כי מנסה יהוה אלהיכם אתכם לדעת הישכם אהבים את יהוה אלהיכם בכל לבבכם ובכל נפשכם
(21111, -99, 4);[1, 30, 6, 50];87;אלון;5644;(1, 18, 13, 12, 5644);אלד;1;(1, 18, 13, 40, 21111);ויאמר יהוה אל אברהם למה זה צחקה שרה לאמר האף אמנם אלד ואני זקנתי
(22379, -99, 4);[1, 30, 6, 50];87;אלון;5964;(1, 19, 3, 13, 5964);אפה;1;(1, 19, 3, 47, 22379);ויפצר בם מאד ויסרו אליו ויבאו אל ביתו ויעש להם משתה ומצות אפה ויאכלו
(41649, -99, 4);[1, 30, 6, 50];87;אלון;11101;(1, 30, 3, 10, 11101);ואבנה;2;(1, 30, 3, 34, 41649);ותאמר הנה אמתי בלהה בא אליה ותלד על ברכי ואבנה גם אנכי ממנה
(120603, -99, 4);[1, 30, 6, 50];87;אלון;31815;(2, 29, 1, 12, 31815);אחד;1;(2, 29, 1, 36, 120603);וזה הדבר אשר תעשה להם לקדש אתם לכהן לי לקח פר אחד בן בקר ואילם שנים תמימם
(142389, -99, 4);[1, 30, 6, 50];87;אלון;37538;(3, 1, 15, 7, 37538);ראשו;2;(3, 1, 15, 26, 142389);והקריבו הכהן אל המזבח ומלק את ראשו והקטיר המזבחה ונמצה דמו על קיר המזבח
(145474, -99, 4);[1, 30, 6, 50];87;אלון;38360;(3, 4, 22, 11, 38360);לא;2;(3, 4, 22, 39, 145474);אשר נשיא יחטא ועשה אחת מכל מצות יהוה אלהיו אשר לא תעשינה בשגגה ואשם
(198189, -99, 4);[1, 30, 6, 50];87;אלון;52265;(4, 6, 23, 9, 52265);את;1;(4, 6, 23, 28, 198189);דבר אל אהרן ואל בניו לאמר כה תברכו את בני ישראל אמור להם
(198575, -99, 4);[1, 30, 6, 50];87;אלון;52366;(4, 7, 5, 13, 52366);איש;1;(4, 7, 5, 44, 198575);קח מאתם והיו לעבד את עבדת אהל מועד ונתתה אותם אל הלוים איש כפי עבדתו
(206991, -99, 4);[1, 30, 6, 50];87;אלון;54538;(4, 11, 7, 4, 54538);הוא;3;(4, 11, 7, 13, 206991);והמן כזרע גד הוא ועינו כעין הבדלח
(293726, -99, 4);[1, 30, 6, 50];87;אלון;77109;(5, 28, 45, 5, 77109);האלה;2;(5, 28, 45, 18, 293726);ובאו עליך כל הקללות האלה ורדפוך והשיגוך עד השמדך כי לא שמעת בקול יהוה אלהיך לשמר מצותיו וחקתיו אשר צוך
(34446, -98, 4);[1, 30, 6, 50];87;אלון;9175;(1, 26, 1, 14, 9175);אבימלך;1;(1, 26, 1, 51, 34446);ויהי רעב בארץ מלבד הרעב הראשון אשר היה בימי אברהם וילך יצחק אל אבימלך מלך פלשתים גררה
(46778, -98, 4);[1, 30, 6, 50];87;אלון;12467;(1, 32, 7, 8, 12467);אחיך;1;(1, 32, 7, 29, 46778);וישבו המלאכים אל יעקב לאמר באנו אל אחיך אל עשו וגם הלך לקראתך וארבע מאות איש עמו
(64343, -98, 4);[1, 30, 6, 50];87;אלון;17078;(1, 42, 27, 15, 17078);אמתחתו;1;(1, 42, 27, 53, 64343);ויפתח האחד את שקו לתת מספוא לחמרו במלון וירא את כספו והנה הוא בפי אמתחתו
(82914, -98, 4);[1, 30, 6, 50];87;אלון;21877;(2, 4, 19, 12, 21877);האנשים;2;(2, 4, 19, 37, 82914);ויאמר יהוה אל משה במדין לך שב מצרים כי מתו כל האנשים המבקשים את נפשך
(100429, -98, 4);[1, 30, 6, 50];87;אלון;26483;(2, 15, 15, 5, 26483);אילי;1;(2, 15, 15, 17, 100429);אז נבהלו אלופי אדום אילי מואב יאחזמו רעד נמגו כל ישבי כנען
(188212, -98, 4);[1, 30, 6, 50];87;אלון;49710;(4, 1, 42, 14, 49710);יצא;3;(4, 1, 42, 58, 188212);בני נפתלי תולדתם למשפחתם לבית אבתם במספר שמת מבן עשרים שנה ומעלה כל יצא צבא
(190749, -98, 4);[1, 30, 6, 50];87;אלון;50328;(4, 3, 11, 5, 50328);לאמר;2;(4, 3, 11, 16, 190749);וידבר יהוה אל משה לאמר
(261280, -98, 4);[1, 30, 6, 50];87;אלון;68628;(5, 6, 1, 13, 68628);אשר;1;(5, 6, 1, 56, 261280);וזאת המצוה החקים והמשפטים אשר צוה יהוה אלהיכם ללמד אתכם לעשות בארץ אשר אתם עברים שמה לרשתה
(12497, -97, 4);[1, 30, 6, 50];87;אלון;3351;(1, 10, 26, 9, 3351);ואת;2;(1, 10, 26, 33, 12497);ויקטן ילד את אלמודד ואת שלף ואת חצרמות ואת ירח
(13437, -97, 4);[1, 30, 6, 50];87;אלון;3602;(1, 11, 17, 5, 3602);את;1;(1, 11, 17, 18, 13437);ויחי עבר אחרי הולידו את פלג שלשים שנה וארבע מאות שנה ויולד בנים ובנות
