(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(49846, 1, 4);[50, 6, 30, 1];87;אלון;13285;(1, 34, 14, 10, 13285);אחתנו;4;(1, 34, 14, 38, 49846);ויאמרו אליהם לא נוכל לעשות הדבר הזה לתת את אחתנו לאיש אשר לו ערלה כי חרפה הוא לנו
(63501, 1, 4);[50, 6, 30, 1];87;אלון;16860;(1, 42, 11, 7, 16860);אנחנו;4;(1, 42, 11, 25, 63501);כלנו בני איש אחד נחנו כנים אנחנו לא היו עבדיך מרגלים
(64530, 1, 4);[50, 6, 30, 1];87;אלון;17126;(1, 42, 31, 4, 17126);אנחנו;4;(1, 42, 31, 17, 64530);ונאמר אליו כנים אנחנו לא היינו מרגלים
(65239, 1, 4);[50, 6, 30, 1];87;אלון;17310;(1, 43, 5, 9, 17310);אלינו;4;(1, 43, 5, 29, 65239);ואם אינך משלח לא נרד כי האיש אמר אלינו לא תראו פני בלתי אחיכם אתכם
(65328, 1, 4);[50, 6, 30, 1];87;אלון;17332;(1, 43, 7, 6, 17332);ולמולדתנו;8;(1, 43, 7, 28, 65328);ויאמרו שאול שאל האיש לנו ולמולדתנו לאמר העוד אביכם חי היש לכם אח ונגד לו על פי הדברים האלה הידוע נדע כי יאמר הורידו את אחיכם
(75621, 1, 4);[50, 6, 30, 1];87;אלון;19968;(1, 49, 9, 12, 19968);יקימנו;5;(1, 49, 9, 47, 75621);גור אריה יהודה מטרף בני עלית כרע רבץ כאריה וכלביא מי יקימנו
(93139, 1, 4);[50, 6, 30, 1];87;אלון;24567;(2, 10, 26, 4, 24567);עמנו;3;(2, 10, 26, 14, 93139);וגם מקננו ילך עמנו לא תשאר פרסה כי ממנו נקח לעבד את יהוה אלהינו ואנחנו לא נדע מה נעבד את יהוה עד באנו שמה
(93180, 1, 4);[50, 6, 30, 1];87;אלון;24578;(2, 10, 26, 15, 24578);ואנחנו;5;(2, 10, 26, 55, 93180);וגם מקננו ילך עמנו לא תשאר פרסה כי ממנו נקח לעבד את יהוה אלהינו ואנחנו לא נדע מה נעבד את יהוה עד באנו שמה
(106868, 1, 4);[50, 6, 30, 1];87;אלון;28222;(2, 19, 23, 15, 28222);בנו;2;(2, 19, 23, 47, 106868);ויאמר משה אל יהוה לא יוכל העם לעלת אל הר סיני כי אתה העדתה בנו לאמר הגבל את ההר וקדשתו
(141412, 1, 4);[50, 6, 30, 1];87;אלון;37275;(2, 40, 34, 10, 37275);המשכן;5;(2, 40, 34, 36, 141412);ויכס הענן את אהל מועד וכבוד יהוה מלא את המשכן
(141519, 1, 4);[50, 6, 30, 1];87;אלון;37304;(2, 40, 37, 4, 37304);הענן;4;(2, 40, 37, 13, 141519);ואם לא יעלה הענן ולא יסעו עד יום העלתו
(146962, 1, 4);[50, 6, 30, 1];87;אלון;38762;(3, 5, 11, 23, 38762);שמן;3;(3, 5, 11, 81, 146962);ואם לא תשיג ידו לשתי תרים או לשני בני יונה והביא את קרבנו אשר חטא עשירת האפה סלת לחטאת לא ישים עליה שמן ולא יתן עליה לבנה כי חטאת הוא
(154464, 1, 4);[50, 6, 30, 1];87;אלון;40753;(3, 10, 6, 4, 40753);אהרן;4;(3, 10, 6, 14, 154464);ויאמר משה אל אהרן ולאלעזר ולאיתמר בניו ראשיכם אל תפרעו ובגדיכם לא תפרמו ולא תמתו ועל כל העדה יקצף ואחיכם כל בית ישראל יבכו את השרפה אשר שרף יהוה
(166067, 1, 4);[50, 6, 30, 1];87;אלון;43908;(3, 16, 2, 22, 43908);הארן;4;(3, 16, 2, 72, 166067);ויאמר יהוה אל משה דבר אל אהרן אחיך ואל יבא בכל עת אל הקדש מבית לפרכת אל פני הכפרת אשר על הארן ולא ימות כי בענן אראה על הכפרת
(171409, 1, 4);[50, 6, 30, 1];87;אלון;45359;(3, 19, 26, 8, 45359);תעוננו;5;(3, 19, 26, 27, 171409);לא תאכלו על הדם לא תנחשו ולא תעוננו
(172630, 1, 4);[50, 6, 30, 1];87;אלון;45683;(3, 20, 14, 13, 45683);ואתהן;5;(3, 20, 14, 43, 172630);ואיש אשר יקח את אשה ואת אמה זמה הוא באש ישרפו אתו ואתהן ולא תהיה זמה בתוככם
(175949, 1, 4);[50, 6, 30, 1];87;אלון;46607;(3, 22, 28, 6, 46607);בנו;2;(3, 22, 28, 16, 175949);ושור או שה אתו ואת בנו לא תשחטו ביום אחד
(180754, 1, 4);[50, 6, 30, 1];87;אלון;47826;(3, 25, 24, 5, 47826);תתנו;3;(3, 25, 24, 20, 180754);ובכל ארץ אחזתכם גאלה תתנו לארץ
